trip_id,start_time,end_time,headway_secs,exact_times
1:AVL---:2048,07:48:00,10:48:00,1800,1
1:AVL---:2063,07:51:00,19:31:00,1200,1
1:AVL---:2037,06:31:00,16:01:00,900,1
1:AVL---:2006,20:01:00,23:31:00,1800,1
1:AVL---:929,11:36:00,19:36:00,1800,1
1:AVL---:1484,06:04:00,06:44:00,1200,1
1:AVL---:1684,06:50:00,19:50:00,1200,1
1:AVL---:1527,05:57:00,06:27:00,900,1
1:AVL---:1015,08:02:00,08:32:00,900,1
1:AVL---:1089,20:19:00,21:19:00,1800,1
1:AVL---:1874,07:56:00,10:56:00,1800,1
1:AVL---:963,06:21:00,06:51:00,900,1
1:AVL---:951,22:04:00,23:34:00,1800,1
1:AVL---:1452,05:53:00,08:23:00,1800,1
1:AVL---:2041,11:17:00,19:17:00,1800,1
1:AVL---:1530,08:07:00,10:07:00,1800,1
1:AVL---:1287,06:29:00,07:29:00,1800,1
1:AVL---:842,05:34:00,07:34:00,1800,1
1:AVL---:1854,11:48:00,19:48:00,1800,1
1:AVL---:1769,08:19:00,09:19:00,1800,1
1:AVL---:960,07:05:00,19:50:00,900,1
1:AVL---:1798,14:12:00,15:32:00,1200,1
1:AVL---:1100,17:37:00,19:07:00,600,1
1:AVL---:879,09:29:00,10:09:00,1200,1
1:AVL---:1098,13:57:00,15:27:00,600,1
1:AVL---:832,11:19:00,19:19:00,1800,1
1:AVL---:2084,11:15:00,15:15:00,7200,1
1:AVL---:2011,11:28:00,19:28:00,1800,1
1:AVL---:2027,11:19:00,19:19:00,1800,1
1:AVL---:1475,07:53:00,19:33:00,1200,1
1:AVL---:1691,06:55:00,19:35:00,1200,1
1:AVL---:1781,07:20:00,08:20:00,1800,1
1:AVL---:827,06:44:00,19:24:00,1200,1
1:AVL---:2013,06:01:00,07:31:00,1800,1
1:AVL---:1547,07:39:00,08:09:00,900,1
1:AVL---:1481,06:20:00,07:20:00,1800,1
1:AVL---:1794,06:52:00,07:32:00,1200,1
1:AVL---:1603,06:57:00,19:47:00,600,1
1:AVL---:1478,20:20:00,23:50:00,1800,1
1:AVL---:896,09:32:00,11:02:00,1800,1
1:AVL---:1479,07:50:00,10:50:00,1800,1
1:AVL---:1471,05:39:00,07:09:00,1800,1
1:AVL---:1837,12:03:00,18:03:00,10800,1
1:AVL---:844,22:04:00,24:04:00,1800,1
1:AVL---:1857,07:49:00,11:19:00,1800,1
1:AVL---:885,17:29:00,18:09:00,1200,1
1:AVL---:2025,17:57:00,19:27:00,900,1
1:AVL---:1014,06:47:00,07:32:00,900,1
1:AVL---:1692,08:46:00,19:16:00,5400,1
1:AVL---:784,06:47:00,19:27:00,1200,1
1:AVL---:997,06:09:00,06:39:00,900,1
1:AVL---:1096,10:17:00,11:47:00,600,1
1:AVL---:1024,09:17:00,11:17:00,1800,1
1:AVL---:1528,20:39:00,21:39:00,1800,1
1:AVL---:1666,08:00:00,19:40:00,1200,1
1:AVL---:2070,21:38:00,23:38:00,1800,1
1:AVL---:2030,20:22:00,21:52:00,1800,1
1:AVL---:1410,06:16:00,06:46:00,900,1
1:AVL---:1454,07:05:00,18:45:00,1200,1
1:AVL---:1107,07:55:00,08:07:00,360,1
1:AVL---:2082,08:10:00,19:50:00,1200,1
1:AVL---:970,06:01:00,06:31:00,900,1
